year,state,county_name,fips_code,rep_num,dem_num,county_num,vap,dem_margin,turnout,state_electoral_votes
2008,AL,Macon,01087,1396.0,9450.0,10877,17415,0.7404615243173669,0.6245765144989951,9
2008,AL,Madison,01089,86965.0,64117.0,152899,230380,-0.149431977972387,0.6636817432068756,9
2008,AL,Marengo,01091,5516.0,5926.0,11471,15575,0.03574230668642664,0.7365008025682183,9
2008,AL,Marion,01093,9536.0,2600.0,12355,22825,-0.5613921489275597,0.5412924424972618,9
2008,AL,Marshall,01095,25727.0,7038.0,33166,60630,-0.5634987637942471,0.5470229259442521,9
2008,AL,Mobile,01097,98049.0,82181.0,181424,292820,-0.08746362113061117,0.619575165630763,9
2008,AL,Monroe,01099,6175.0,5025.0,11252,16845,-0.10220405261286883,0.6679726921935293,9
2008,AL,Montgomery,01101,42031.0,62166.0,104743,164305,0.1922324164860659,0.6374912510270534,9
2008,AL,Morgan,01103,36014.0,13895.0,50542,83270,-0.4376360254837561,0.6069652936231535,9
2008,AL,Perry,01105,1679.0,4457.0,6159,7775,0.45104724792985873,0.7921543408360129,9
2008,AL,Pickens,01107,5434.0,4594.0,10067,14735,-0.08344094566405086,0.6832032575500508,9
2008,AL,Pike,01109,8004.0,5879.0,13955,22675,-0.1522751701898961,0.6154355016538038,9
2008,AL,Randolph,01111,7175.0,3064.0,10384,17075,-0.39589753466872113,0.6081405563689605,9
2008,AL,Russell,01113,8705.0,10085.0,18915,37435,0.07295796986518636,0.5052758114064378,9
2008,AL,St. Clair,01115,27649.0,6091.0,34088,58460,-0.6324219666744896,0.583099555251454,9
2008,AL,Shelby,01117,69060.0,20625.0,90643,130685,-0.5343490396390235,0.6935991123694379,9
2008,AL,Sumter,01119,1731.0,5264.0,7020,9940,0.5032763532763532,0.7062374245472837,9
2008,AL,Talladega,01121,20112.0,13779.0,34204,60600,-0.18515378318325343,0.5644224422442244,9
2008,AL,Tallapoosa,01123,13116.0,6063.0,19311,31300,-0.3652322510486251,0.6169648562300319,9
