geoid,geoname,year,cvap_est
05000US27007,"Beltrami County, Minnesota",2004,31330.0
05000US13017,"Ben Hill County, Georgia",2004,12451.0
05000US16009,"Benewah County, Idaho",2004,6928.0
05000US46007,"Bennett County, South Dakota",2004,2336.0
05000US50003,"Bennington County, Vermont",2004,28996.0
05000US38005,"Benson County, North Dakota",2004,4366.0
05000US08011,"Bent County, Colorado",2004,4894.0
05000US05007,"Benton County, Arkansas",2004,123901.0
05000US18007,"Benton County, Indiana",2004,6412.0
05000US19011,"Benton County, Iowa",2004,19297.0
05000US27009,"Benton County, Minnesota",2004,28621.0
05000US28009,"Benton County, Mississippi",2004,6273.0
05000US29015,"Benton County, Missouri",2004,14978.0
05000US41003,"Benton County, Oregon",2004,61910.0
05000US47005,"Benton County, Tennessee",2004,12946.0
05000US53005,"Benton County, Washington",2004,103202.0
05000US26019,"Benzie County, Michigan",2004,13304.0
05000US34003,"Bergen County, New Jersey",2004,572890.0
05000US45015,"Berkeley County, South Carolina",2004,104884.0
05000US54003,"Berkeley County, West Virginia",2004,68519.0
05000US42011,"Berks County, Pennsylvania",2004,289107.0
05000US25003,"Berkshire County, Massachusetts",2004,102522.0
05000US35001,"Bernalillo County, New Mexico",2004,428405.0
05000US13019,"Berrien County, Georgia",2004,12926.0
05000US26021,"Berrien County, Michigan",2004,115365.0
05000US37015,"Bertie County, North Carolina",2004,15862.0
05000US02050,"Bethel Census Area, Alaska",2004,10399.0
05000US48029,"Bexar County, Texas",2004,971994.0
05000US01007,"Bibb County, Alabama",2004,16628.0
05000US13021,"Bibb County, Georgia",2004,111467.0
05000US22013,"Bienville Parish, Louisiana",2004,11360.0
05000US30003,"Big Horn County, Montana",2004,8420.0
05000US56003,"Big Horn County, Wyoming",2004,8204.0
05000US27011,"Big Stone County, Minnesota",2004,4303.0
05000US38007,"Billings County, North Dakota",2004,676.0
05000US16011,"Bingham County, Idaho",2004,26753.0
05000US19013,"Black Hawk County, Iowa",2004,97501.0
05000US18009,"Blackford County, Indiana",2004,10211.0
05000US37017,"Bladen County, North Carolina",2004,24400.0
05000US16013,"Blaine County, Idaho",2004,13777.0
05000US30005,"Blaine County, Montana",2004,4444.0
05000US31009,"Blaine County, Nebraska",2004,460.0
05000US40011,"Blaine County, Oklahoma",2004,8700.0
05000US42013,"Blair County, Pennsylvania",2004,99972.0
05000US48031,"Blanco County, Texas",2004,6317.0
05000US51021,"Bland County, Virginia",2004,5625.0
05000US13023,"Bleckley County, Georgia",2004,9629.0
05000US47007,"Bledsoe County, Tennessee",2004,8993.0
05000US01009,"Blount County, Alabama",2004,40194.0
05000US47009,"Blount County, Tennessee",2004,88182.0
05000US27013,"Blue Earth County, Minnesota",2004,47892.0
05000US16015,"Boise County, Idaho",2004,5310.0
